NAME,ASIAN/PI,category,pop_est,new_category
Massachusetts,488025,HISPANIC.ASIAN,7350,NA
Massachusetts,488025,NH.NH/PI,2867,NH/PI
Massachusetts,488025,HISPANIC.NH/PI,4550,NA
Massachusetts,488025,NH.MULTI,126161,MULTI
Massachusetts,488025,HISPANIC.MULTI,47660,NA
Massachusetts,488025,ETH_NH,6054926,NH
Massachusetts,488025,ETH_HISPANIC,847223,HISPANIC
Massachusetts,488025,MALE,3350528,MALE
Massachusetts,488025,FEMALE,3551621,FEMALE
Massachusetts,488025,AI/AN/NH/PI,15148,AI/AN/NH/PI
Michigan,336017,TOTAL_POP,9995915,TOTAL_POP
Michigan,336017,NH.WHITE,7485441,NH WHITE
Michigan,336017,HISPANIC.WHITE,438486,NA
Michigan,336017,NH.BLACK,1375622,BLACK
Michigan,336017,HISPANIC.BLACK,32770,NA
Michigan,336017,NH.AI/AN,57011,AI/AN
Michigan,336017,HISPANIC.AI/AN,16488,NA
Michigan,336017,NH.ASIAN,333280,ASIAN
Michigan,336017,HISPANIC.ASIAN,4056,NA
Michigan,336017,NH.NH/PI,2737,NH/PI
Michigan,336017,HISPANIC.NH/PI,1405,NA
Michigan,336017,NH.MULTI,222802,MULTI
Michigan,336017,HISPANIC.MULTI,25817,NA
Michigan,336017,ETH_NH,9476893,NH
Michigan,336017,ETH_HISPANIC,519022,HISPANIC
Michigan,336017,MALE,4922143,MALE
Michigan,336017,FEMALE,5073772,FEMALE
Michigan,336017,AI/AN/NH/PI,59748,AI/AN/NH/PI
Minnesota,287834,TOTAL_POP,5611179,TOTAL_POP
Minnesota,287834,NH.WHITE,4459268,NH WHITE
Minnesota,287834,HISPANIC.WHITE,258908,NA
Minnesota,287834,NH.BLACK,367582,BLACK
Minnesota,287834,HISPANIC.BLACK,12832,NA
Minnesota,287834,NH.AI/AN,59933,AI/AN
Minnesota,287834,HISPANIC.AI/AN,16683,NA
Minnesota,287834,NH.ASIAN,284976,ASIAN
Minnesota,287834,HISPANIC.ASIAN,3999,NA
Minnesota,287834,NH.NH/PI,2858,NH/PI
Minnesota,287834,HISPANIC.NH/PI,1287,NA
Minnesota,287834,NH.MULTI,127279,MULTI
Minnesota,287834,HISPANIC.MULTI,15574,NA
Minnesota,287834,ETH_NH,5301896,NH
Minnesota,287834,ETH_HISPANIC,309283,HISPANIC
Minnesota,287834,MALE,2794801,MALE
Minnesota,287834,FEMALE,2816378,FEMALE
Minnesota,287834,AI/AN/NH/PI,62791,AI/AN/NH/PI
Mississippi,32372,TOTAL_POP,2986530,TOTAL_POP
Mississippi,32372,NH.WHITE,1686128,NH WHITE
Mississippi,32372,HISPANIC.WHITE,80173,NA
Mississippi,32372,NH.BLACK,1118103,BLACK
Mississippi,32372,HISPANIC.BLACK,10809,NA
Mississippi,32372,NH.AI/AN,14887,AI/AN
Mississippi,32372,HISPANIC.AI/AN,3536,NA
Mississippi,32372,NH.ASIAN,31319,ASIAN
Mississippi,32372,HISPANIC.ASIAN,833,NA
Mississippi,32372,NH.NH/PI,1053,NH/PI
Mississippi,32372,HISPANIC.NH/PI,759,NA
Mississippi,32372,NH.MULTI,34872,MULTI
Mississippi,32372,HISPANIC.MULTI,4058,NA
Mississippi,32372,ETH_NH,2886362,NH
Mississippi,32372,ETH_HISPANIC,100168,HISPANIC
Mississippi,32372,MALE,1447735,MALE
Mississippi,32372,FEMALE,1538795,FEMALE
Mississippi,32372,AI/AN/NH/PI,15940,AI/AN/NH/PI
Missouri,136404,TOTAL_POP,6126452,TOTAL_POP
Missouri,136404,NH.WHITE,4858302,NH WHITE
Missouri,136404,HISPANIC.WHITE,224269,NA
Missouri,136404,NH.BLACK,710969,BLACK
Missouri,136404,HISPANIC.BLACK,13560,NA
Missouri,136404,NH.AI/AN,26659,AI/AN
Missouri,136404,HISPANIC.AI/AN,8360,NA
Missouri,136404,NH.ASIAN,128422,ASIAN
Missouri,136404,HISPANIC.ASIAN,2624,NA
Missouri,136404,NH.NH/PI,7982,NH/PI
Missouri,136404,HISPANIC.NH/PI,1603,NA
Missouri,136404,NH.MULTI,130853,MULTI
Missouri,136404,HISPANIC.MULTI,12849,NA
Missouri,136404,ETH_NH,5863187,NH
Missouri,136404,ETH_HISPANIC,263265,HISPANIC
Missouri,136404,MALE,3007563,MALE
Missouri,136404,FEMALE,3118889,FEMALE
Missouri,136404,AI/AN/NH/PI,34641,AI/AN/NH/PI
Montana,10145,TOTAL_POP,1062305,TOTAL_POP
Montana,10145,NH.WHITE,912905,NH WHITE
Montana,10145,HISPANIC.WHITE,32227,NA
Montana,10145,NH.BLACK,5612,BLACK
Montana,10145,HISPANIC.BLACK,625,NA
Montana,10145,NH.AI/AN,64710,AI/AN
Montana,10145,HISPANIC.AI/AN,5893,NA
Montana,10145,NH.ASIAN,9408,ASIAN
Montana,10145,HISPANIC.ASIAN,444,NA
Montana,10145,NH.NH/PI,737,NH/PI
Montana,10145,HISPANIC.NH/PI,156,NA
Montana,10145,NH.MULTI,26430,MULTI
Montana,10145,HISPANIC.MULTI,3158,NA
Montana,10145,ETH_NH,1019802,NH
Montana,10145,ETH_HISPANIC,42503,HISPANIC
Montana,10145,MALE,534852,MALE
Montana,10145,FEMALE,527453,FEMALE
Montana,10145,AI/AN/NH/PI,65447,AI/AN/NH/PI
Nebraska,51854,TOTAL_POP,1929268,TOTAL_POP
Nebraska,51854,NH.WHITE,1515603,NH WHITE
Nebraska,51854,HISPANIC.WHITE,187843,NA
Nebraska,51854,NH.BLACK,92902,BLACK
Nebraska,51854,HISPANIC.BLACK,5855,NA
Nebraska,51854,NH.AI/AN,16133,AI/AN
Nebraska,51854,HISPANIC.AI/AN,12530,NA
Nebraska,51854,NH.ASIAN,50669,ASIAN
Nebraska,51854,HISPANIC.ASIAN,1674,NA
Nebraska,51854,NH.NH/PI,1185,NH/PI
Nebraska,51854,HISPANIC.NH/PI,1153,NA
Nebraska,51854,NH.MULTI,36904,MULTI
Nebraska,51854,HISPANIC.MULTI,6817,NA
Nebraska,51854,ETH_NH,1713396,NH
Nebraska,51854,ETH_HISPANIC,215872,HISPANIC
Nebraska,51854,MALE,963382,MALE
Nebraska,51854,FEMALE,965886,FEMALE
Nebraska,51854,AI/AN/NH/PI,17318,AI/AN/NH/PI
Nevada,269934,TOTAL_POP,3034392,TOTAL_POP
