"NAME","TOTAL_POP","NH.WHITE","HISPANIC.WHITE","NH.BLACK","HISPANIC.BLACK","NH.AI/AN","HISPANIC.AI/AN","NH.ASIAN","HISPANIC.ASIAN","NH.NH/PI","HISPANIC.NH/PI","NH.MULTI","HISPANIC.MULTI","ETH_NH","ETH_HISPANIC","MALE","FEMALE","AGE_0","AGE_1","AGE_2","AGE_3","AGE_4","AGE_5","AGE_6","AGE_7","AGE_8","AGE_9","AGE_10","AGE_11","AGE_12","AGE_13","AGE_14","AGE_15","AGE_16","AGE_17","AGE_18","AGE_19","AGE_20","AGE_21","AGE_22","AGE_23","AGE_24","AGE_25","AGE_26","AGE_27","AGE_28","AGE_29","AGE_30","AGE_31","AGE_32","AGE_33","AGE_34","AGE_35","AGE_36","AGE_37","AGE_38","AGE_39","AGE_40","AGE_41","AGE_42","AGE_43","AGE_44","AGE_45","AGE_46","AGE_47","AGE_48","AGE_49","AGE_50","AGE_51","AGE_52","AGE_53","AGE_54","AGE_55","AGE_56","AGE_57","AGE_58","AGE_59","AGE_60","AGE_61","AGE_62","AGE_63","AGE_64","AGE_65","AGE_66","AGE_67","AGE_68","AGE_69","AGE_70","AGE_71","AGE_72","AGE_73","AGE_74","AGE_75","AGE_76","AGE_77","AGE_78","AGE_79","AGE_80","AGE_81","AGE_82","AGE_83","AGE_84","AGE_85"
"Rhode Island",1057315,761439,125820,63323,25088,4570,6738,36822,1597,676,1459,22143,7640,888973,168342,514332,542983,10557,10868,11040,11078,10870,10798,10979,11081,11038,10944,11453,11528,11807,11947,12086,12267,12321,12551,16247,18040,16977,16129,14646,14234,14630,14895,14770,15493,15729,15482,15018,14218,13766,13598,13262,13265,13291,13200,13245,12404,12037,11770,11352,11928,11694,12081,12739,13594,14121,13608,13800,14225,14439,15449,15314,15171,15576,15660,15452,15115,15153,15012,14447,14242,13330,12564,11926,11409,11105,10721,10458,11058,8073,7836,7445,7855,6558,5837,5438,5053,4833,4513,4180,3893,3647,27852
"South Carolina",5084127,3238535,244920,1353188,26957,18732,8962,87197,2765,3163,1990,87266,10452,4788081,296046,2463326,2620801,55932,57248,59123,60341,59747,59672,60542,60810,62069,63162,64643,65575,63825,62847,62664,62162,61985,63598,67498,68651,66864,66183,65298,66419,67310,68667,70053,72919,73199,69613,66167,63800,63641,63649,62182,63487,63446,63483,64253,61405,59990,59843,56919,59812,58759,60577,63052,66544,66754,63195,62179,62092,64134,67849,70082,68928,68545,69637,70173,67472,67559,68301,66119,66568,64997,62925,61399,60397,59385,58173,58066,61099,43983,43155,41249,41645,35029,31781,28940,25879,23850,21023,19472,17977,15513,88975
"South Dakota",882235,718383,26350,20162,838,73084,6328,14776,317,491,256,18937,2313,845833,36402,445531,436704,12109,12377,12534,12549,12563,12313,12210,12025,12040,12174,12408,12411,12219,11969,11875,11408,11187,11235,11310,12534,12007,12038,11737,11845,11958,11951,12239,11728,11405,11431,11462,11237,11446,11651,11545,11257,11563,11269,11555,10363,10039,9910,9504,9381,9068,8944,9288,9791,9834,9384,9254,9319,9691,10437,11139,11542,11665,12031,12279,11794,11877,11645,11599,11540,11289,10956,10460,10055,9641,9048,8482,8532,6141,5907,5828,5840,4979,4422,4325,4100,3807,3556,3545,3292,2947,20991
"Tennessee",6770010,4989758,325514,1133558,22073,19148,12678,124526,4000,3566,2930,118682,13577,6389238,380772,3302924,3467086,78974,80367,82175,82894,82164,82084,82528,81701,82544,83483,86995,86698,86059,85195,85167,85094,84968,87130,85335,82798,84627,85850,88053,92330,94797,95932,99772,101697,100154,94909,90799,87960,87385,87549,84910,86724,87112,85996,88872,84179,82745,82350,78496,82908,80885,83367,87486,92845,92239,86873,83889,84254,86241,91917,93684,92404,91245,91486,92455,88947,88859,88391,85587,84734,82066,78132,74770,73144,70699,70175,69560,72352,51936,51300,49534,50028,43205,38775,36184,33143,30692,26849,25628,23388,20141,120062
"Texas",28701845,11912849,10712018,3441644,232211,92644,198317,1433736,52530,25123,17210,427000,156563,17332996,11368849,14260106,14441739,390665,398574,408353,414429,412105,406888,403957,411252,413346,412304,421871,420804,417556,416675,414513,412512,408131,414164,404998,392538,389195,389781,396282,406451,416834,424188,437345,438759,437014,422501,416849,415238,416517,420121,407796,413789,411971,407350,412695,385022,376509,373396,366218,373419,361403,362678,371391,382655,377716,352927,340277,332372,333759,348265,350917,349067,345374,343777,345404,329279,323119,316947,303427,297351,280545,268302,252745,243385,236161,225862,220732,225920,168666,165934,158822,154336,133126,123006,113570,103278,96576,87296,81058,76461,66585,400499
"Utah",3161105,2466025,399609,36307,9393,29910,18718,81356,4033,30824,2671,66465,15794,2710887,450218,1592143,1568962,50160,50053,50573,51050,51168,51880,50305,51662,52672,52559,53970,54129,53185,52831,52684,52057,50856,50668,49222,46182,46480,50247,53592,56565,54022,51198,51186,50868,47786,46193,43879,42206,43099,44327,44166,45970,46478,46375,47374,45162,44520,43145,40296,38849,36445,35175,35045,35627,34538,32283,30399,29931,29016,29841,30318,31096,31130,31469,31285,30382,30098,29943,28800,28427,27530,26367,24943,23562,22687,21944,21460,21619,15794,15710,15785,15573,13105,12013,11067,10269,9609,8780,8220,7638,6557,37776
"Vermont",626299,579588,10398,8155,598,2072,385,12423,158,196,51,11331,944,613765,12534,309252,317047,5632,5797,5950,6037,6265,6088,6277,6235,6341,6331,6638,6790,6701,6715,6917,6991,6932,7336,9626,11400,10849,10176,8881,8417,7870,7908,7575,7385,7491,7174,7324,7353,7244,7311,7326,7448,7383,7315,7501,6957,6992,6753,6532,6915,6805,6851,7297,8077,8348,7959,7785,8027,8246,8919,9210,9384,9590,10048,9785,9890,9880,9820,9462,9537,9093,8872,8507,8290,7925,7742,7458,7723,5537,5549,5290,5412,4324,4074,3605,3295,3189,2773,2580,2444,2197,14421
"Virginia",8517685,5234514,684156,1627434,63833,22696,23713,578201,10845,6465,3533,227501,34794,7696811,820874,4190648,4327037,99261,101645,103237,103808,102973,102763,103040,103679,103091,101884,105992,106234,105454,104943,105739,104681,104546,106822,112720,113515,114015,115465,115120,115806,118406,120054,120785,122637,122180,118530,118046,116835,117982,118064,115193,117480,116863,116050,118057,110184,107963,106222,102703,106078,103283,104523,110694,115960,116549,110355,109052,109109,111079,117848,120215,119288,116982,117409,116828,112535,111313,108523,104048,102219,97727,93144,88516,85557,83963,81622,81550,84076,61631,60498,58481,58889,50351,45252,42017,38684,35990,32377,29736,27492,23683,151892
"Washington",7535591,5124948,819976,295631,27195,95666,48784,687325,16130,53310,5691,308353,52582,6565233,970358,3769911,3765680,90662,92067,93100,93747,93125,93397,92720,93707,93947,93145,94908,94052,91910,91218,90714,89875,88936,92055,89793,86390,89203,90827,94869,100515,105849,110301,117274,121526,122522,117981,114142,112039,113219,113896,110457,110405,110216,107723,107873,99927,97261,95294,91896,93324,88950,88537,92024,98274,100335,95238,90902,88684,89112,94029,96396,98229,97933,99315,99653,96546,96675,95963,93351,93003,90203,87522,82950,79515,77290,74412,72641,75187,54253,53464,51574,50613,42793,38060,34795,31831,30055,26760,24428,22809,19897,133383
"West Virginia",1805832,1662293,25700,63429,1802,3829,697,15014,324,403,125,30663,1553,1775631,30201,894340,911492,17871,18464,19161,19709,20052,20360,20285,20108,20103,20187,20968,20923,20739,20678,21080,21030,21061,21381,21948,21807,22129,22766,22939,22806,22454,22148,22952,23693,23151,21670,20540,20352,20416,20375,20065,21290,21449,21625,22991,21875,21725,21822,20839,21911,21233,22160,23065,24311,24181,22771,22417,22818,23169,24625,24936,24793,24837,25544,26206,26378,26860,26825,25590,26029,25308,24826,24321,23892,23372,23289,22458,23184,16090,16048,15357,15704,13613,12623,11576,10857,10260,9449,8524,8000,6535,39900
"Wisconsin",5813568,4712894,350632,370909,18138,51937,15634,173071,3076,2130,1113,98672,15362,5409613,403955,2892273,2921295,64588,66035,67476,68242,68041,68543,68969,69232,71653,71402,73425,74227,73851,73481,74364,73762,73592,75220,76495,79349,79447,79541,79822,78785,78326,78213,77837,74229,73357,70799,70131,70920,73018,75719,73154,74686,75056,74626,76114,71315,68952,68005,65082,67018,63862,64491,67819,73593,74633,71808,71618,73864,76032,80731,82968,83793,84556,86779,86467,84162,83010,81624,78042,77539,74605,71158,69110,65725,63007,60181,57974,59073,42756,41840,40799,41904,36357,32399,29808,28652,27108,24873,23338,21863,18912,128636
"Wyoming",577737,484253,50690,6598,959,12262,3598,5762,451,394,178,10241,2351,519510,58227,294534,283203,6823,7066,7278,7380,7365,7362,7405,7468,7776,7836,8042,8031,7791,7789,7451,7480,7227,7205,7144,7257,7516,7642,7849,7478,7481,7449,7881,7832,8008,7709,7427,7606,7832,8080,7954,8004,7964,7721,8035,7434,7107,6865,6610,6608,6365,6235,6382,6713,6910,6300,6167,6123,6191,6725,7134,7455,7447,8060,8333,8099,8129,8333,8142,8062,7789,7481,6948,6664,6416,6074,5957,6104,4198,4216,4110,4047,3495,3062,2908,2691,2442,2253,2048,1873,1707,10681
